case,type,difficulty,system,model,runnable,objective,ground_truth,verdict,elapsed_s
C07_cvrp,vrp,hard,Qwen2.5-72B,Qwen/Qwen2.5-72B-Instruct,False,None,None,no_result,182.0
C07_cvrp,vrp,hard,DeepSeek-V3-raw,deepseek-ai/DeepSeek-V3,True,0.0,None,invalid_degenerate,45.74
C08_graph_coloring,graph_coloring,medium,OptAgent,deepseek-ai/DeepSeek-V3,True,3.0,3,optimal,33.54
C08_graph_coloring,graph_coloring,medium,GPT-4o,gpt-4o,True,3.0,3,optimal,12.27
C08_graph_coloring,graph_coloring,medium,GPT-4o-mini,gpt-4o-mini,True,1.0,3,invalid_below_optimum,7.09
C08_graph_coloring,graph_coloring,medium,Moonshot-v1,moonshot-v1-8k,False,None,3,no_result,9.29
C08_graph_coloring,graph_coloring,medium,Qwen2.5-72B,Qwen/Qwen2.5-72B-Instruct,False,None,3,no_result,58.33
C08_graph_coloring,graph_coloring,medium,DeepSeek-V3-raw,deepseek-ai/DeepSeek-V3,True,0.0,3,invalid_below_optimum,29.04
C09_max_flow,max_flow,medium,OptAgent,deepseek-ai/DeepSeek-V3,True,15.0,15,optimal,29.91
C09_max_flow,max_flow,medium,GPT-4o,gpt-4o,True,15.0,15,optimal,8.19
C09_max_flow,max_flow,medium,GPT-4o-mini,gpt-4o-mini,True,20.0,15,invalid_above_optimum,7.89
C09_max_flow,max_flow,medium,Moonshot-v1,moonshot-v1-8k,True,20.0,15,invalid_above_optimum,12.5
C09_max_flow,max_flow,medium,Qwen2.5-72B,Qwen/Qwen2.5-72B-Instruct,False,None,15,no_result,47.38
C09_max_flow,max_flow,medium,DeepSeek-V3-raw,deepseek-ai/DeepSeek-V3,True,15.0,15,optimal,23.62
C10_facility_location,facility_location,hard,OptAgent,deepseek-ai/DeepSeek-V3,True,14.0,14,optimal,40.6
C10_facility_location,facility_location,hard,GPT-4o,gpt-4o,True,14.0,14,optimal,9.7
C10_facility_location,facility_location,hard,GPT-4o-mini,gpt-4o-mini,True,14.0,14,optimal,9.52
C10_facility_location,facility_location,hard,Moonshot-v1,moonshot-v1-8k,False,None,14,no_result,13.95
C10_facility_location,facility_location,hard,Qwen2.5-72B,Qwen/Qwen2.5-72B-Instruct,True,14.0,14,optimal,116.6
C10_facility_location,facility_location,hard,DeepSeek-V3-raw,deepseek-ai/DeepSeek-V3,True,14.0,14,optimal,32.38
